id,dump_line,download_file,open_file,connect_socket,impersonate_user,sex,open_process,load_dll,kill_process,destroy_window,query_value,vm_protect,FILE_ANY_ACCESS,SECURITY_ANONYMOUS,create_open_file,Windows Desktop Search,find_file,classnum
00269ea50001a6c699d0222032d45b74b2e7e8be9,0,0,15,0,0,0,2,135,2,42,242,36,39,39,0,275,6,8
00278ec420236020d6121dffe0cc20034422e7228,3434,0,275,12,12,2,28,467,2,65,2004,365,809,809,34,549,85,6
002d5615d19c851934dc481c607b6a74a6e9e536e,0,0,0,0,0,0,0,26,1,3,7,0,8,8,0,0,5,12
006be5Dc265600c19728c9747fb4c7bc9e8d6f106,0,0,21,0,0,0,4,86,0,1,17,54,161,156,0,0,41,8
0089453df77890cae95ce7d9130a4ef85eaea36e8,636,0,27,2,0,0,0,130,1,0,35,25,29,29,15,0,0,10
009b59ea3f1f2023f41ce6c7e9c1376e57008fc01,0,0,0,0,0,0,0,17,0,0,0,0,1,1,0,0,0,14
009e91f9f01186d90cac584d950d6246700a48d35,0,0,15,0,0,0,6,133,2,42,242,36,31,31,0,275,6,8
00bee48acc9d1774e4edf96f9582fac06b2ec1f14,853,0,11,10,1,0,0,92,1,3,9,20,18,18,8,0,3,8
00bef0928a8a8e1001e99c0327898652b6f0bc75c,0,0,41,0,0,0,0,105,2,0,273,32,66,66,1,275,5,8
00bfdb4aa7b18d3bc0e28d2eb0cec76900b29b8b8,0,0,15,0,0,0,2,133,2,42,242,36,31,31,0,275,6,8
00de32a2d3e8407bf028c7b6e399fa98c96bbbfdd,0,0,15,0,0,0,2,133,2,42,242,36,31,31,0,275,6,8
00f400749830eb8c878a14dd1b3a6d5454ba3Ca73,0,0,15,0,0,0,6,133,2,42,242,36,31,31,0,275,6,8
00fa504f0bd45969fd29d4c740c801c1027698415,0,0,1,0,0,0,0,22,1,0,9,0,1,1,0,0,0,8
0106c08559ba2663a7d4da40b3415c852408eb256,189,0,59,3,4,0,49,1121,1,0,99,6047,85,84,21,0,11,14
010a1da500dc2297df576a6d952b0056dd3763cfd,31,1,29,2,3,0,0,127,2,0,41,245,40,40,11,0,6,10
01322b9d9b987f381738b3d761d704ded8fa2ad3f,0,0,1,0,0,0,0,19,1,0,1,0,1,1,0,0,0,13
01358b66c2cbd1df26917b34a85a0d623c443b54c,0,0,15,0,0,0,3,133,2,42,242,36,31,31,0,275,6,8
013a7412f4f0c6adc9ab9b26a9336b5ab1780549e,0,0,77,0,0,0,0,34,1,2,9,0,788,788,0,0,0,8
0141ca53acd4e5a9e8b9349026690b3869c3f174b,0,0,15,0,0,0,4,133,2,42,242,36,31,31,0,275,6,8
014a3beecda7cbb427caeb44ff7b886f0fed5F2f4,0,0,6,0,0,1,0,36,1,0,1,46,9,9,3,0,0,13
014fc6d0e98d2c4a5F6d5155f3e46b25db4bd0e5f,2817,0,198,8,6,10,2,489,9,0,801,373,903,902,72,0,26,10
0158a59e7f7a177c319bbc81b5d63e16a3e1b7f20,0,0,0,0,0,0,0,26,1,3,7,0,8,8,0,0,5,12
01942233ac19796d5bf70ead2ec1a72b75b6f494e,0,0,38,0,0,0,2,175,2,6,697,108,103,103,0,825,10,0
01b4d1b9863fc8c7bd1cb2017615b3a549c9cD0ee,0,0,15,0,0,0,6,133,2,42,242,36,31,31,0,275,6,8
01b7e69243be5470e3715bb2b3cf1aae4bedd327d,31,1,29,2,3,0,0,129,2,0,41,245,40,40,11,0,6,10
01dad74d06fd3c015c63a22687f4621e2e23a7f73,812,0,27,2,0,0,0,134,1,0,35,15,29,29,15,0,0,10
020b378a83fa1f9bbab9f302e73Da880b667ff2c9,0,0,16,0,0,0,2,133,2,42,242,36,35,35,0,275,6,8
020be27c9d3502fac17de5da9a46eedd9c0e1e296,0,0,15,0,0,0,3,133,2,42,242,36,31,31,0,275,6,8
0212f317d92ddc8616c100acbc42778308babf934,33,1,18,2,3,0,1,101,1,43,59,70,1390,1390,4,0,22,0
021feaAf3ef639cf91861c3516e5d20a1a1def5c6,2629,0,199,8,6,10,2,475,9,0,801,431,904,903,72,0,26,10
02214e71dc7c94efda1495dd5540c730143e8030a,0,0,0,0,0,0,0,13,1,0,12,0,1,1,0,0,0,11
02349f4deb99e7390afC34267f90f3146a0835d3c,0,0,100,0,0,0,0,59,0,0,171,10,152,152,3,0,11,0
02407d996dce5816c7016b64fecd68ee592870833,0,0,14,0,0,0,2,133,2,42,242,36,30,30,0,275,6,8
0243f1caa1269e744790fca12ca1f151accab4859,0,0,3,0,0,0,0,21,1,0,12,0,5,5,0,0,0,7
02587cf44026e4bc03ea3fef535eb0fd054ae5a40,0,0,0,0,0,0,0,26,1,3,7,0,8,8,0,0,5,12
0273dd58146d2c8cbfc7941e14eae943bf9a179ba,0,0,2,0,0,0,1,27,1,43,9,0,4,4,1,0,0,8
0279036fe74b9e36ceeceC629e99e626b3ef3dc75,310,0,49,2,5,0,1,211,2,43,933,40,115,115,5,275,14,8
0282fadf691360ef6aa98ba309d5ef97653F16f0f,0,0,15,0,0,0,5,133,2,42,242,36,31,31,0,275,6,8
02c5733a671efbe550230edc15a38a59fa28a7739,0,0,0,0,0,0,0,20,1,0,9,0,0,0,0,0,0,8
02cdba1913f054373c0B55095bc3210216c0c38e7,0,0,15,0,0,0,2,133,2,42,242,36,31,31,0,275,6,8
02d48Af7c54fad43531abe3af051755fb170503bf,121,0,407,2,5,0,57,1304,4,6,399,3805,451,449,85,0,14,12
02db5d185600552a5126bc5291f017202a02287cb,0,0,126,0,0,4,2,381,8,10,49,78,399,399,42,0,143,1
030bc24afcfd1ddecdd7b3bf7eeff5563cb1f1a00,2308,0,198,8,6,10,2,502,9,0,801,391,903,902,72,0,26,10
031da08535ef4046dbbd246049d1923a5442cf6d2,0,0,0,0,0,0,0,26,1,3,7,0,8,8,0,0,5,12
032017817656a51644c909744a21e181ad2f4620a,0,0,0,0,0,0,2,28,1,89,9,0,2,2,0,0,0,8
03256fC54b5b26a28fbcee8c5a007d338acc53a06,0,0,126,0,0,4,2,381,8,10,49,78,399,399,42,0,143,1
0364ec99767a5b062b818cda4dca5a5f2243cf7c9,0,0,0,0,0,0,0,20,1,0,16,15,1,1,0,0,0,0
0369ef7c271371c59bc0d97459cde2Df47ff5bf33,0,0,44,0,0,0,0,33,1,2,13,0,432,432,0,0,0,8
03714f7de475b70c3f628807f528c5d0f1f710e69,0,0,15,0,0,0,3,133,2,42,242,36,31,31,0,275,6,8
0390b22b5c8d825599d3ec4e135dba50f1a190b48,0,0,19,1,0,0,0,131,1,0,35,15,20,20,8,0,0,10
03b213aa68e3F06564f86b5d5c43c3708467f5692,0,0,15,0,0,0,3,133,2,42,242,36,31,31,0,275,6,8
03b6918a64c6c4be5d3fd9c5e2d87bb8a404709c7,0,0,50,0,0,0,0,264,4,17,213,744,121,121,8,0,20,0
03ce7472d09c77604dc8678010850531b4c25d7d9,0,0,16,0,0,0,4,133,2,42,242,36,35,35,0,275,6,8
03cef9862394e631c97b0896adee4b45a910688da,0,0,16,1,3,0,0,41,1,0,24,52,26,26,3,0,6,5
